NEIGHBORHOOD,School Dropout (%)
AGRONOMIA,11.63
ANCHIETA,
AUXILIADORA,8.77
AZENHA,2.73
BELA VISTA,
BELÉM NOVO,21.33
BELÉM VELHO,3.03
BOA VISTA,0
BOM FIM,
BOM JESUS,2.22
CAMAQUÃ,0.43
CAMPO NOVO,
CASCATA,4.05
CAVALHADA,6.99
CEL. APARÍ­CIO BORGES,3.69
CENTRO HISTÓRICO,5.13
CHÁCARA DAS PEDRAS,11.9
CHAPÉU DO SOL,
CIDADE BAIXA,
CRISTAL,8.84
CRISTO REDENTOR,10.06
ESPÍ­RITO  SANTO,
FARRAPOS,2.63
FARROUPILHA,4.56
FLORESTA,2.63
GLÓRIA,0.7
GUARUJÁ,
HIGIENÓPOLIS,0.21
HÍPICA,1.7
HUMAITÁ,
INDEPENDÊNCIA,0.15
IPANEMA,2.69
JARDIM BOTÂNICO,1.47
JARDIM CARVALHO,22.79
JARDIM DO SALSO,31.69
JARDIM FLORESTA,
JARDIM ISABEL,
JARDIM ITU,10.2
JARDIM LINDÓIA,0.85
JARDIM SABARÁ,5.72
JARDIM SÃOPEDRO,0
LAGEADO,
LAMI,17.18
LOMBA DO PINHEIRO,14.22
MÁRIO QUINTANA,7.99
MEDIANEIRA,8.94
MENINO DEUS,17.98
MOINHOS DE VENTO,
MONT'SERRAT,0
MORRO SANTANA,5.32
NAVEGANTES,9.39
NONOAI,
PARTENON,3.84
PASSO D'AREIA,2.51
PASSO DAS PEDRAS,9.24
PEDRA REDONDA,0
PETRÓPOLIS,2.09
PONTA GROSSA,
PRAIA DE BELAS,0
RESTINGA,5.87
RIO BRANCO,0
RUBEM BERTA,11.05
SANTA CECÍ­LIA,4.16
SANTA MARIA GORETTI,2.47
SANTA TEREZA,0
SANTANA,11.48
SANTO ANTÔNIO,0
SÃO GERALDO,0
SÃO JOÃO,0
SÃO JOSÉ,8.72
SÃO SEBASTIÃO,1.18
SARANDI,9.3
SERRARIA,
TERESÓPOLIS,2.63
TRÊS FIGUEIRAS,0
TRISTEZA,8.78
VILA ASSUNÇÃO,26.81
VILA CONCEIÇÃO,
VILA IPIRANGA,5.65
VILA JARDIM,22.46
VILA JOÃO PESSOA,0
VILA NOVA,4.75
