NEIGHBORHOOD,Price/m²
JARDIM EUROPA,12008.86103448276
BELA VISTA,10566.781125319692
MENINO DEUS,10522.586933333334
TRÊS FIGUEIRAS,10151.51105
MOINHOS DE VENTO,9965.615356200527
MONT'SERRAT,9547.036
BOA VISTA,9527.288374558304
AUXILIADORA,9051.267057761734
PRAIA DE BELAS,9020.318508064516
PETRÓPOLIS,8938.129961856326
INDEPENDÊNCIA,8147.9739875389405
SÃO JOÃO,8019.659972222222
RIO BRANCO,7840.1531570512825
HIGIENÓPOLIS,7637.215582329317
CHÁCARA DAS PEDRAS,7470.539929577464
CIDADE BAIXA,7417.439864864865
BOM FIM,7284.452833333333
JARDIM BOTÂNICO,7007.207113924051
FARROUPILHA,6939.29
JARDIM LINDÓIA,6918.849251101322
PASSO D'AREIA,6872.297656477438
PEDRA REDONDA,6792.799393939394
SANTA CECÍLIA,6564.796888888888
ARQUIPÉLAGO,6392.315833333334
JARDIM DO SALSO,6383.207736842105
SANTANA,6327.588057259713
VILA ASSUNÇÃO,5905.504214876033
SÃO SEBASTIÃO,5889.035300546448
TRISTEZA,5853.788725663717
CRISTO REDENTOR,5835.977658536585
FLORESTA,5632.642867513612
PARTENON,5602.369318181818
CENTRO HISTÓRICO,5461.539775357386
VILA IPIRANGA,5435.861634615385
CRISTAL,5395.684591651542
AZENHA,5368.336205673759
BOM JESUS,5168.731586206896
AGRONOMIA,5149.951481481482
FARRAPOS,5130.324230769231
GLÓRIA,4997.496457399103
JARDIM CARVALHO,4843.016113537117
SANTA MARIA GORETTI,4840.669310344827
SANTO ANTÔNIO,4702.838659420289
JARDIM ITU,4617.247080979285
TERESÓPOLIS,4606.006711229947
SÉTIMO CÉU,4594.897727272727
JARDIM SÃO PEDRO,4594.1589156626505
VILA JARDIM,4470.312440944882
SARANDI,4427.533899253731
CAMAQUÃ,4427.197872340425
CHAPÉU DO SOL,4413.161052631579
SANTA TEREZA,4384.230789473684
VILA CONCEIÇÃO,4378.599090909091
JARDIM ISABEL,4356.806052631579
JARDIM SABARÁ,4295.4131
MORRO SANTANA,4294.352872928177
CAVALHADA,4280.033397590361
HUMAITÁ,4248.930434782608
SÃO GERALDO,4147.842430939227
BELÉM NOVO,4098.32602739726
VILA JOÃO PESSOA,4053.9634285714287
COSTA E SILVA,3926.3724444444447
MEDIANEIRA,3893.4419557195574
IPANEMA,3868.550930930931
NONOAI,3866.2830996309963
HÍPICA,3798.5071243523316
CEL. APARÍCIO BORGES,3789.7095833333333
PASSO DAS PEDRAS,3736.030810810811
NAVEGANTES,3711.9698809523807
ESPÍRITO SANTO,3684.787109375
VILA SÃO JOSÉ,3639.7475438596493
VILA NOVA,3627.202974683544
JARDIM FLORESTA,3618.9514285714286
JARDIM LEOPOLDINA,3484.889193548387
ABERTA DOS MORROS,3481.3177976190477
PARQUE SANTA FÉ,3459.813984375
1069,3409.09
MÁRIO QUINTANA,3401.8461111111114
LOMBA DO PINHEIRO,3319.2481502890178
GUARUJÁ,3221.79671875
SERRARIA,3117.4799999999996
BOA VISTA DO SUL,3017.8525
RESTINGA,2992.6345744680852
RUBEM BERTA,2910.8847867298578
SÃO JOSÉ,2887.54
ANCHIETA,2637.894
CAMPO NOVO,2634.2826744186045
SÃO CAETANO,2540.7850000000003
PONTA GROSSA,2489.2645
SANTA ROSA DE LIMA,2429.6558333333332
CASCATA,2063.8484615384614
BELÉM VELHO,1706.3061764705883
LAMI,1620.5978947368421
LAGEADO,1617.8195
EXTREMA,722.5225
